idx,rfq_id,item_raw,original_text,old_match_status,old_external_code,v3_decision,v3_external_code,v3_confidence,v3_reason,v4_decision,v4_external_code,v4_confidence,v4_reason,v3_v4_same,candidate_count
"1","a98d5392-7895-433a-a8c6-db33ff4eaa6d","termostat","W210 e230 termostat","single_match","SO-004","select","SO-004","high","Exact match for requested thermostat part","select","SO-004","high","Exact match for termostat (thermostat) requested","yes","4"
"2","fe327c9c-716c-4e26-bc9d-1e5384e4d1aa","matorun sepi remeni","Matorun paduşkası matorun sepi remeni","no_match","","select","MU-055","high","Requested 'matorun sepi remeni' matches timing chain (sepi) exactly","clarify","","high","Two different parts: engine mount and timing chain belt mentioned","no","24"
"3","cb80a4ea-850f-45fa-911c-71999df3eb2a","arxa əyləc bəndi","Arxa əyləc bəndi","single_match","EY-001","select","EY-001","high","arxa ÉylÉc bÉndi means rear brake pad, matches Naklatka (ÉylÉc bÉndi)","select","EY-001","high","Arxa ÉylÉc bÉndi means rear brake pad (ÉylÉc bÉndi = brake pad)","yes","16"
"4","184e2a62-ebf9-4265-87b1-86bfda72a288","Bufer","Ön və arxa bufer sel plusa lazımdı","single_match","KZ-001","clarify","","high","Request includes both front and rear bumpers; must split for separate parts","select","KZ-001","high","Exact match for 'Bufer' (bumper) requested for front and rear","no","13"
"5","a7b7e25f-5fcf-4b66-9556-4a7c2e9f8fce","tormuz disk","Naklatka və tormuz disk","single_match","EY-002","select","EY-002","high","Requested 'tormuz disk' matches 'Apornu (ÉylÉc diski)' exactly","clarify","","high","Item_raw has two different parts: brake pad and brake disc","no","14"
"6","ac66daac-296b-4d46-86f2-4eb05b869ea4","sol yan güzgü","Sol yan güzgü lazımdır","single_match","KZ-020","select","KZ-020","high","Buyer requests left side mirror itself, candidate matches exactly","select","KZ-020","high","Exact match for 'sol yan gÃ¼zgÃ¼' (left side mirror)","yes","10"
"7","8814469e-d57f-46b3-ac3a-6aeae1a90664","Turbo katrici","Turbo katrici və turbo zbor","single_match","MU-037","select","MU-091","high","Exact match for 'Turbo katrici' is 'Turbo kartrici' candidate","select","MU-091","high","Exact match for 'Turbo katrici' (turbo cartridge) in candidates","yes","10"
"8","7e18b739-816a-4813-a50a-df7a929eac32","Mator qapaginin ustundeki yag salnikleri","Mator qapaginin ustundeki yag salnikleri","single_match","MU-074","select","MU-086","high","Requested oil seals (yaÄ salnikleri) on motor cover match candidate 'Salnik'.","select","MU-086","high","Request is for oil seals on engine cover; MU-086 is generic oil seal (salnik)","yes","24"
"9","889aaf59-2e92-41ec-a0ed-c62f208aa041","Trbonun şlankı","Hyundai sonata 1.6 turbo 2015 il.Trbonun şlankı lazımdı","single_match","SO-027","select","SO-027","high","Requested part is turbocharger hose (ÅlankÄ±), matches interkuler ÅlanqÄ± candidate","select","SO-027","high","Turbo hose matches 'Trbonun ÅlankÄ±' (turbo hose) request","yes","5"
"10","5a914f41-93d5-40e8-9acb-02c72ed42f13","kardanlari","Karopka neciyedir?
Birdə kardanlari balans etməyi bacaran var?","ambiguous","","select","TR-012","high","Buyer requests 'kardanlari' which matches 'Kardan (Ã¶tÃ¼rÃ¼cÃ¼ kardan valÄ±)' exactly","select","TR-012","high","kardanlari means drive shaft (kardan valÄ±) exactly matches TR-012","yes","6"
"11","34277958-4fd3-4aaf-8d38-2e7aef563ce9","ön bamper","Ön bamper","single_match","KZ-001","select","KZ-001","high","Ã¶n bamper means front bumper, matches candidate Bufer (ÐÐ°Ð¼Ð¿ÐµÑ) exactly","select","KZ-001","high","Exact match for 'Ã¶n bamper' as bumper","yes","7"
"12","cd16fdc8-6c85-4fd3-98c9-c82a58994ae9","hunday elantra 2017 təkərin içində olan hava təzyiqi yoxlayan datçik","Mene hunday elantra 2017 təkərin içində olan hava təzyiqi yoxlayan datçik lazimdi","single_match","TK-005","select","TK-005","high","Request is for tire air pressure sensor (TPMS), candidate matches exactly","select","TK-005","high","TPMS sensor matches tire air pressure sensor inside wheel","yes","24"
"13","2a66aca7-c4df-4b11-adf0-45c56405239f","Ön sol alt şaravoy","Lexus gs300 ,2006 arxa razvalnilər jamısı.
Mosdun paduşkaları.
Ön sol alt şaravoy","single_match","AS-010","select","AS-010","high","Ãn sol alt Åaravoy means front left lower ball joint exactly","select","AS-010","high","Ãn sol alt Åaravoy means front left lower ball joint (Åaravoy)","yes","17"
"14","dfcbdda6-114a-467e-9671-a0178b46c687","Qabaq alin susesi patpres","Qabaq alin susesi patpres","ambiguous","","select","KZ-011","high","Qabaq alin susesi patpres means front windshield glass (patpres)","select","KZ-011","high","alin susesi patpres means front windshield glass","yes","20"
"15","11b3f126-b121-4329-b39f-bb4ac3bb51fc","Qabağ Bufer","Qabağ Bufer","single_match","KZ-001","select","KZ-001","high","QabaÄ Bufer means front bumper, matches candidate Bufer exactly","select","KZ-001","high","Exact match for 'QabaÄ Bufer' (front bumper) in candidates","yes","19"
"16","6ca54807-04f1-4fbb-96c4-aa18823b5243","kapot","Amg kapot, bufer,  krelo","single_match","KZ-023","select","KZ-023","high","Exact match for 'kapot' (hood/bonnet) requested","select","KZ-023","high","Exact match for 'kapot' (hood/bonnet) requested","yes","12"
"17","4840f125-c4d5-4d53-a924-00887f93ef6d","mator Map sensor","Passat b6 2.0 FSİ 150 hp mator Map sensor","single_match","MU-045","select","MU-045","high","Requested part is 'mator Map sensor', matches MAP sensor exactly","select","MU-045","high","Exact match for MAP sensor in engine sensors category","yes","24"
"18","2958c91a-1417-46da-a10c-38a9ce68efae","Şam","Şam","single_match","SR-014","clarify","","high","Åam can mean ignition, glow, or heater relay candle; needs specification","clarify","","high","Åam can mean glow plug, ignition plug, relay, or wire; multiple candidates match","yes","4"
"19","5ea73514-2366-4f0b-8e99-f527264f1886","Dumanlı sağ teref üstden çixma yada pad arginal","Dumanlı sağ teref üstden çixma yada pad arginal","no_match","","select","KZ-006","high","DumanlÄ± saÄ teref = right fog light; candidate is fog light itself","select","KZ-029","high","Pad arginal matches 'Podkrilnik' (fender liner) exactly","no","19"
"20","021d7977-47a8-442d-b560-aafda6eae55a","balaca termostat lazimdi","Raspedval datciki, 2 eded vanusun giriw cixiw datciki, balaca termostat lazimdi","single_match","SO-004","select","SO-004","high","Request is clearly for a small thermostat, matches candidate 'Termostat'.","select","SO-004","high","balaca termostat means small thermostat, matches Termostat candidate","yes","5"
"21","e883107e-8885-45fa-801c-074218a3d668","Sağ faranın arxasında zibil baçoku zbor bütün","Sağ faranın arxasında zibil baçoku zbor bütün","single_match","KZ-005","unknown","","high","Requested 'zibil baÃ§oku' behind right headlight not in candidates","unknown","","high","No candidate matches 'zibil baÃ§oku' behind right headlight","yes","24"
"22","c2652169-72a7-4924-b641-88a393683473","support","Sol arxa barabanın supportun porşeninin pulniki","ambiguous","","select","EY-004","high","Support repair kit includes piston seal (pulnik) for brake support","select","EY-004","high","Pulniki (seal) of support matches repair kit with dust seals/manjets","yes","10"
"23","22cac1fd-0d11-418c-a8cb-9e7005bef161","Avtopadsos","Mənə maşınım üçün Avtopadsos lazımdı.","ambiguous","","unknown","","high","Avtopadsos is not a clear automotive part matching any candidate","unknown","","high","Avtopadsos meaning unclear, no matching candidate","yes","7"
"24","5f25db78-8e60-4d6c-be2a-ca454bb7b83a","Alt şatavoy","Alt şatavoy 1əd,əyləjdibi əyləcbəndi ön 2əd, iç qranatlar,pulavoy reyka.","single_match","AS-010","select","AS-010","high","Alt Åatavoy means lower ball joint, matches 'Åaravoy (kula opora)' exactly","select","AS-010","high","Alt Åatavoy means lower ball joint (Åaravoy) in suspension","yes","15"
"25","dc2a3755-db09-4613-9745-84ea1cf1c8c8","Yag filteri oreqinal lazımdı","Yag filteri oreqinal lazımdı","single_match","SR-002","select","SR-002","high","Buyer requests original oil filter, matches 'YaÄ filtri' exactly","select","SR-002","high","Exact match for original 'Yag filteri' (oil filter)","yes","22"
"26","413b9bd8-e709-414e-b6ae-95190a45def8","AFS OFF sensoru ön","AFS OFF sensoru ön","single_match","EL-029","unknown","","high","No candidate matches 'AFS OFF sensoru' specifically","unknown","","high","No candidate matches 'AFS OFF sensoru' specifically","yes","22"
"27","10a8b4e9-8cf7-4540-9a12-f7a3699a79a8","Qabaq abirsofka","Qabaq bufer
Sol fara 2 lupa
Ekran
Qabaq abirsofka
Qabaq sol terefin 2 parkradari
Faraya su vuranlar","single_match","KZ-003","select","KZ-003","high","Qabaq abirsofka means front bumper cover/trim (abrisofka)","select","KZ-003","high","Qabaq abirsofka matches bufer Ã¼zlÃ¼yÃ¼ (abrisofka) exactly","yes","17"
"28","c2957da0-e9cc-4e8b-ae9c-375016eb1e06","klapan kök möhürləri","2AZ FE klapan kök möhürləri 16 eded","single_match","MU-016","select","MU-016","high","klapan kÃ¶k mÃ¶hÃ¼rÃ¼ = valve stem seal matches Klapan salniyi exactly","select","MU-016","high","klapan kÃ¶k mÃ¶hÃ¼rÃ¼ = valve stem seal, matches Klapan salniyi","yes","18"
"29","475e40d2-85f8-49ad-80e4-c604d37bbdd5","Rulun airbakı","Rulun airbakı neceydi","single_match","EL-073","select","EL-073","high","Rulun airbakÄ± means steering wheel airbag, matches 'SÃ¼kan airbaqÄ±'","select","EL-073","high","Rulun airbakÄ± means steering wheel airbag","yes","16"
"30","b9c7d3b0-4939-40af-972a-21194e2f4815","Sürücü tərəf qabağ patkrlnik","Sürücü tərəf qabağ patkrlnik","","","select","KZ-029","high","patkrlnik = Ð¿Ð¾Ð´ÐºÑÑÐ»Ð¾Ðº (Ð»Ð¾ÐºÐµÑ), matches exactly requested front driver side part","select","KZ-029","high","patkrlnik matches Podkrilnik (wheel arch liner) exactly","yes","21"
"31","e5f42875-f111-4d5b-b15e-3df906897f5c","arxa park radari","Arxa park radari","single_match","EL-013","select","EL-014","high","Exact match for rear park radar block (arxa park radari)","select","EL-014","high","Exact match for rear parking radar block","yes","10"
"32","007d1404-6ca3-48cb-b61f-310306d8315b","natijnik remen","Natijnik remen təkər sensoru","single_match","MU-022","select","MU-022","high","Natijnik remen means belt tensioner, matches ÐÐ°ÑÑÐ¶Ð¸ÑÐµÐ»Ñ ÑÐµÐ¼Ð½Ñ","select","MU-022","high","Natijnik remen means belt tensioner, matches MU-022 exactly","yes","7"
"33","b2648099-a4b9-4cdd-88b3-2672bbf7086d","Turbo","Turbo","single_match","MU-037","select","MU-037","high","Exact match for requested head object 'Turbo' (turbocharger).","select","MU-037","high","Exact match for 'Turbo' as the whole turbocharger unit","yes","6"
"34","5134401d-b57f-42f5-b768-6f58746f53e0","Dpf oksigen sensoru 2 ci sensor p0037","Dpf oksigen sensoru 2 ci sensor p0037","","","select","EG-002","high","Dpf oksigen sensoru matches katalizator/oksigen datÃ§iki (lambda zond)","select","EG-002","high","Dpf oxygen sensor matches lambda/oxygen sensor candidate EG-002","yes","23"
