external_code,category,category_slug,name_az,name_ru,synonyms,synonyms_count,name_terms,name_terms_count,requires_side,requires_direction,requires_location,is_active,created_at
EY-010,ABS,brakes-abs,ABS bloku,Блок ABS (гидроблок с насосом),гидроблок с насосом; abs blok; abs modulu; absmodulu; absbloku,5,ABS bloku; Блок ABS (гидроблок с насосом); блок abs гидроблок с насосом; гидроблок с насосом; abs blok; abs modulu; absmodulu; absbloku,8,No,No,No,Yes,2026-07-21 14:10:44
EY-011,ABS,brakes-abs,ABS datçiki,Датчик ABS,abc sensoru; abs sensoru; təkər sensoru; teker sensoru; abs datciki; abcsensoru; abssensoru; tekersensoru; absdatciki; датчикabs,10,ABS datçiki; Датчик ABS; abc sensoru; abs sensoru; təkər sensoru; teker sensoru; abs datciki; abcsensoru; abssensoru; tekersensoru; absdatciki; датчикabs,12,Yes,Yes,No,Yes,2026-07-21 14:10:44
EL-014,ADAS,electrical-adas,Park radar bloku,Блок парктроника,radar; park radarı; ön radar; qabaq radarı; park radari; on radar; qabaq radari; parkradari; qabaqradari; блокпарктроника,10,Park radar bloku; Блок парктроника; radar; park radarı; ön radar; qabaq radarı; park radari; on radar; qabaq radari; parkradari; qabaqradari; блокпарктроника,12,No,No,No,Yes,2026-07-21 14:10:44
EL-013,ADAS,electrical-adas,Park radar sensoru (şunuru),Датчик парктроника,şunuru; sunuru; park radar sensoru sunuru; датчикпарктроника,4,Park radar sensoru (şunuru); Датчик парктроника; park radar sensoru şunuru; şunuru; sunuru; park radar sensoru sunuru; датчикпарктроника,7,No,Yes,No,Yes,2026-07-21 14:10:44
EL-015,ADAS,electrical-adas,Kor zona sensoru/detektoru (BSM),Датчик слепых зон,bsm; kor zona detektoru; kor zona sensoru; kor nöqtə bloku; kor zonalı güzgü; kor zonalı yan güzgü; kor noqte bloku; kor zonali guzgu; kor zonali yan guzgu,9,Kor zona sensoru/detektoru (BSM); Датчик слепых зон; kor zona sensoru detektoru bsm; bsm; kor zona detektoru; kor zona sensoru; kor nöqtə bloku; kor zonalı güzgü; kor zonalı yan güzgü; kor noqte bloku; kor zonali guzgu; kor zonali yan guzgu,12,No,No,No,Yes,2026-07-21 14:10:44
EL-061,ADAS,electrical-adas,Distronic kabeli (adaptiv kruiz sensoru kabeli),Кабель адаптивного круиз-контроля (Distronic),distronic; adaptiv kruiz sensoru kabeli,2,Distronic kabeli (adaptiv kruiz sensoru kabeli); Кабель адаптивного круиз-контроля (Distronic); distronic kabeli adaptiv kruiz sensoru kabeli; кабель адаптивного круиз контроля distronic; distronic; adaptiv kruiz sensoru kabeli,6,No,No,No,Yes,2026-07-21 14:10:44
EL-035,ADAS,electrical-adas,Kamera,Камера,кругового обзора; круговогообзора,2,Kamera; Камера; кругового обзора; круговогообзора,4,No,Yes,No,Yes,2026-07-21 14:10:44
AK-029,ADAS,electrical-adas,Arxa görüş kamerası,Камера заднего вида,görüntü kamerası; goruntu kamerasi; arxa gorus kamerasi; goruntukamerasi,4,Arxa görüş kamerası; Камера заднего вида; görüntü kamerası; goruntu kamerasi; arxa gorus kamerasi; goruntukamerasi,6,No,No,No,Yes,2026-07-21 14:10:44
EL-016,ADAS,electrical-adas,Zolaq tanıma kamerası,Камера контроля полосы движения,zolaq tanima kamerasi,1,Zolaq tanıma kamerası; Камера контроля полосы движения; zolaq tanima kamerasi,3,No,No,No,Yes,2026-07-21 14:10:44
EL-070,ADAS,electrical-adas,Faranın korrektoru (tənzimləyici motoru),Корректор фары (моторчик регулировки),моторчик регулировки; tənzimləyici motoru; tenzimleyici motoru; faranin korrektoru tenzimleyici motoru; моторчикрегулировки; tenzimleyicimotoru,6,Faranın korrektoru (tənzimləyici motoru); Корректор фары (моторчик регулировки); faranın korrektoru tənzimləyici motoru; корректор фары моторчик регулировки; моторчик регулировки; tənzimləyici motoru; tenzimleyici motoru; faranin korrektoru tenzimleyici motoru; моторчикрегулировки; tenzimleyicimotoru,10,No,No,No,Yes,2026-07-21 14:10:44
EL-029,ADAS,electrical-adas,Distronik/Cruise control modulu,Модуль круиз-контроля,cruise control modulu; distronik control modulu,2,Distronik/Cruise control modulu; Модуль круиз-контроля; distronik cruise control modulu; модуль круиз контроля; cruise control modulu; distronik control modulu,6,No,No,No,Yes,2026-07-21 14:10:44
AK-028,ADAS,electrical-adas,Park datçikləri,Парковочные датчики,park datcikleri; parkdatcikleri; парковочныедатчики,3,Park datçikləri; Парковочные датчики; park datcikleri; parkdatcikleri; парковочныедатчики,5,No,No,No,Yes,2026-07-21 14:10:44
RG-05,EVAP/дроссель,fuel-throttle,Zaslonka aktuatoru,Актуатор дроссельной заслонки,zaslonka aktuatoru; zaslonka motoru; droselin aktuatoru; kollektorun kəpənəyinin aktuatoru; kəpənək aktuatoru; kollektorun kepeneyinin aktuatoru; kepenek aktuatoru; zaslonkaaktuatoru; zaslonkamotoru; droselinaktuatoru; kepenekaktuatoru,11,Актуатор дроссельной заслонки; zaslonka aktuatoru; zaslonka motoru; droselin aktuatoru; kollektorun kəpənəyinin aktuatoru; kəpənək aktuatoru; kollektorun kepeneyinin aktuatoru; kepenek aktuatoru; zaslonkaaktuatoru; zaslonkamotoru; droselinaktuatoru; kepenekaktuatoru,12,No,No,No,Yes,2026-07-24 13:55:50
MU-090,EVAP/дроссель,fuel-throttle,Drossel qapağı datçiki,Датчик дроссельной заслонки,drossel qapağı sensoru; drossel qapagi sensoru; drossel qapagi datciki,3,Drossel qapağı datçiki; Датчик дроссельной заслонки; drossel qapağı sensoru; drossel qapagi sensoru; drossel qapagi datciki,5,No,No,No,Yes,2026-08-22 12:03:18
MU-034,EVAP/дроссель,fuel-throttle,Zaslonka,Дроссельная заслонка,drossel qapağı; orginal mobis zasdonka; zaslonkanın dişi; zaslonka dişi; drossel qapagi; zaslonkanin disi; zaslonka disi; drosselqapagi; zaslonkanindisi; zaslonkadisi; дроссельнаязаслонка,11,Zaslonka; Дроссельная заслонка; drossel qapağı; orginal mobis zasdonka; zaslonkanın dişi; zaslonka dişi; drossel qapagi; zaslonkanin disi; zaslonka disi; drosselqapagi; zaslonkanindisi; zaslonkadisi; дроссельнаязаслонка,13,No,No,No,Yes,2026-07-21 14:10:44
