id,raw_text,translation,expected_external_code,name_ru,name_az,source
С1,Sol güzgüdə olan işığ,Свет в левом зеркале,KZ-069,Повторитель поворотника в зеркале,Güzgüdə povorotnik (təkrarlayıcı),подтверждено второй проверкой
С2,Baqaj üçün keçe lazimdir,Нужен войлок для багажника,AK-005,Коврик/подстилка багажника,Baqaj xalçası/keçəsi,подтверждено вручную
С3,Geri qaytarma klapanı,Обратный клапан,YA-009,Обратный клапан топлива,Geri qaytarma klapanı (obratka),подтверждено вручную
С4,Guzgu pavarotnik sol,Левый поворотник зеркала,KZ-069,Повторитель поворотника в зеркале,Güzgüdə povorotnik (təkrarlayıcı),подтверждено вручную
С5,Radiator,Радиатор,SO-001,Радиатор охлаждения,Su radiatoru,подтверждено вручную
С6,Matorun usdunde olan plasmas qoruyucu,Пластиковая защита сверху двигателя,MU-074,Крышка двигателя (декоративная),Mühərrik qapağı (dekorativ),подтверждено второй проверкой
С7,Kandisaner kanpressoru hunday aksent 2015 1.6 turbo dizel matoru uçun,"Компрессор кондиционера для Hyundai Accent 2015, 1.6 турбодизель",SO-012,Компрессор кондиционера,Kondisioner kompressoru,подтверждено вручную
С8,qabaq sağ və sol iç və çöl qranatlar zbor,Передние правый и левый внутренние и наружные ШРУСы в сборе,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С9,Sol çöl Qranat,Левый наружный ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С10,yanacaq çəninin qapağı,Крышка топливного бака,YA-005,Крышка топливного бака,Benzin bakı qapağı,подтверждено вручную
С11,kodlndisonerin radiatoru,Радиатор кондиционера,SO-010,Радиатор кондиционера (конденсер),Kondisioner radiatoru,подтверждено вручную
С12,motorun alt zasitniki,Защита двигателя снизу,MU-053,Защита картера двигателя,Mühərrik alt qoruyucusu,подтверждено вручную
С13,Vanuş daççiki üçün taxılan Şteker,"Штекер, подключаемый к датчику VANOS",EL-032,Проводка/разъёмы,Naqillər/ştekerlər (provodka),подтверждено второй проверкой
С14,Sağ padnoşka,Правая подножка,TY-001,Порог-подножка (running board),Padnoşka (pilləkən),подтверждено вручную
С15,Antifiliz baçokunun qapağı.xaiş edirəm qiymət yazanda hem firma hem də originalının qiymətini yazın.,Крышка бачка антифриза,SO-032,Крышка бачка,Baçok qapağı,подтверждено вручную
С16,Ön sağ patkrilnik lazımdı,Нужен передний правый подкрылок,KZ-029,Подкрылок (локер),Podkrilnik,подтверждено вручную
С18,Evap klapan   Rav4 2010,"Клапан EVAP, RAV4 2010",YA-007,Система EVAP (адсорбер),EVAP sistemi/klapanı (yanacaq kömürü),подтверждено вручную
С19,Sağ tərəf iç qranat,Правый внутренний ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С20,Kondisionerin kompressor datciki,Датчик компрессора кондиционера,EL-020,Датчик кондиционера,Kondisioner datçiki,подтверждено вручную
С22,radiator barmaqlığ,Решётка радиатора,KZ-028,Решётка радиатора,Radiator barmaqlığı,подтверждено вручную
С27,"matorun üstündə zbor olur, üst kırışqa deyilir,","В сборе находится сверху двигателя, верхняя крышка",MU-013,Клапанная крышка,Üst krişka (klapan qapağı),подтверждено второй проверкой
С28,Sağ faranın arxasında zibil baçoku zbor bütün,"За правой фарой бачок в сборе, полностью",EL-057,Бачок омывателя стекла,Yuyucu su baçoku,подтверждено второй проверкой
С29,Kapot altindaki peredoxranitel blokunun qapagi,Крышка блока предохранителей под капотом,RG-10,Крышка блока предохранителей,Qoruyucu bloku qapağı,подтверждено вручную
С31,Arxa patkrelniklər kapron,Задние пластиковые подкрылки,KZ-029,Подкрылок (локер),Podkrilnik,подтверждено вручную
С32,matorun alt zaşitniki,Нижняя защита двигателя,MU-053,Защита картера двигателя,Mühərrik alt qoruyucusu,подтверждено вручную
С33,Sol ic col qranat firmasini yazin zehmet olmasa,Левый внутренний/наружный ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С34,Şofer tərəf qranat,ШРУС со стороны водителя,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С35,Iç qranat lazımdır  sağ sol,"Нужны внутренние ШРУСы, правый и левый",AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С36,Radiatorun qapagi,Крышка радиатора,SO-039,Крышка радиатора,Radiator qapağı,подтверждено вручную
С37,Panaramanın şüşələri,Стёкла панорамы,KZ-014,Стекло люка,Lyuk şüşəsi,подтверждено вручную
С40,Katalizator daççiki 2ədəd qiymət?,"Датчики катализатора, 2 штуки",EG-002,Датчик катализатора / кислородный датчик (лямбда-зонд),Katalizator/oksigen datçiki (lambda zond),подтверждено вручную
С42,W205 orijinal qoşa lupa ön fara,Оригинальная передняя фара W205 с двойной линзой,KZ-005,Фара головного света,Fara (baş fara),подтверждено вручную
С43,Avtopadsos,Автоподсос,MU-088,Датчик холостого хода,Boş gediş datçiki,подтверждено второй проверкой
С44,Ic granatlar sag ve sol teref ucun,Внутренние ШРУСы для правой и левой стороны,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С45,support,Суппорт,EY-003,Тормозной суппорт,Support (suport),подтверждено вручную
С46,iç qranati,Внутренний ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С47,ön sol qapı kilidi,Замок передней левой двери,KZ-017,Замок двери,Qapı zamoku,подтверждено вручную
С48,Qabaq sag qranat,Передний правый ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С49,pavarotnik,Поворотник,KZ-008,Поворотник,Dönmə işığı (povorotnik),подтверждено вручную
С51,Rulavoyun almaciqi,Рулевая тяга,SU-002,Рулевая тяга,Sükan dartısı,подтверждено вручную
С52,Nacanecnik,Наконечник,SU-001,Наконечник рулевой тяги,Nakonechnik (sükan dartısı ucluğu),подтверждено вручную
С53,Hunday santafe Sag qranat,Правый ШРУС Hyundai Santa Fe,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С54,Sol stupsia paçevniki,Подшипник левой ступицы,AS-007,Подшипник ступицы,Stupitsa podşipniki,подтверждено вручную
С55,Sag yan guzgu sesi lazimdi,Стекло правого бокового зеркала,KZ-021,Стекло зеркала,Güzgü şüşəsi,подтверждено вручную
С56,qabaq şofer teref yox obiri teref krlo,"Переднее крыло, не со стороны водителя",KZ-027,Крыло,Krılo (qanad),подтверждено вручную
С57,Sag ic qranati   hunday verna,Правый внутренний ШРУС Hyundai Verna,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С58,Patfanderin Starteri zbor,Стартер Pathfinder в сборе,MU-048,Стартер,Starter,подтверждено вручную
С59,Baqaj,Багажник,KZ-033,Крышка багажника,Baqaj qapısı,подтверждено второй проверкой
С61,Podpresin şüşə silənin motoru.,Мотор стеклоочистителя лобового стекла,EL-072,Моторчик стеклоочистителя (дворников),Şüşə silənin motoru (dvornik motoru),подтверждено вручную
С62,blokdan Turboya geden patrubka,Патрубок от блока к турбине,MU-089,Патрубок воздуховода,Hava borusu (patrubok),поправлено при второй проверке
С64,Karopkanin  çöl salniki lazimdi sol teref qranat qiren yerde olan,"Наружный сальник коробки слева, в месте входа ШРУСа",TR-014,Сальник коробки/полуоси,Karopka salniki (val salniki),подтверждено вручную
С65,Kardan muftası,Муфта кардана,TR-013,Эластичная муфта (гибкая связь карданного вала),Elastik mufta,подтверждено вручную
С66,"Gidrouslitel, şlankı",Шланг гидроусилителя,SU-013,Шланг ГУР (гидравлика),Rulevoy şlanqı,поправлено при второй проверке
С68,Robot karopka,Роботизированная коробка передач,TR-001,Коробка передач в сборе,Sürətlər qutusu,подтверждено вручную
С70,lan yan padnoşkalar,Боковые подножки,TY-001,Порог-подножка (running board),Padnoşka (pilləkən),подтверждено вручную
С71,arxa buferin xrom diffuzeri,Хромированный диффузор заднего бампера,TY-004,Диффузор заднего бампера,Arxa bufer diffuzoru,подтверждено вручную
С72,Hoverin suret qutusu mexanikadır,Механическая коробка передач Hover,TR-001,Коробка передач в сборе,Sürətlər qutusu,подтверждено вручную
С74,krивой рычаг(ön əyri asqı qolu),Кривой рычаг (передний изогнутый рычаг подвески),AS-015,Рычаг подвески,Ling/Qol (əyri/düz/banan),подтверждено вручную
С75,Sevralet epika 2007 sag ic qranat,"Chevrolet Epica 2007, правый внутренний ШРУС",AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С76,Kondisaner kompresorun təziq daciki,Датчик давления компрессора кондиционера,EL-020,Датчик кондиционера,Kondisioner datçiki,подтверждено вручную
С77,Dizel filtirinin korpusu(Padkaçka),Корпус дизельного фильтра (подкачка),YA-024,Корпус дизельного топливного насоса (ТНВД),Dizel yanacaq nasosunun korpusu,поправлено при второй проверке
С78,Hyundai  Tucson 2021 benzin qapaq kilidi,"Hyundai Tucson 2021, замок крышки бензобака",EL-021,Актуатор багажника/лючка бензобака,Baqaj/yanacaq qapağı aktuatoru (prisos),подтверждено вручную
С79,qabağ abirçofka,Передняя облицовка,KZ-003,Облицовка/накладка бампера,Bufer üzlüyü (abrisofka),подтверждено второй проверкой
С80,qabaq donme faralari,Передние поворотники,KZ-008,Поворотник,Dönmə işığı (povorotnik),подтверждено вручную
С82,Nissan teana j31 2 3 mator 2004 benzin sep başqa kamplekt,"Nissan Teana J31 2004, цепь — другой комплект",MU-055,Цепь ГРМ,Zəncir (vaxtlama zənciri),подтверждено второй проверкой
С83,Qapi qulpu,Дверная ручка,KZ-016,Ручка двери,Qapı ruçkası,подтверждено вручную
С84,Arxa stoplar led olan,Задние LED-фонари,KZ-007,Задний фонарь,Stop (arxa fənər),подтверждено вручную
С85,Silindr gilzası,Гильза цилиндра,MU-011,Гильза цилиндра,Silindr gilzası,подтверждено вручную
С86,Klapan itələyicisi,Толкатель клапана,MU-099,Толкатель клапана,Klapan itələyici,подтверждено вручную
С87,Mühərrik üst kriskanin prokladkasi,Прокладка верхней крышки двигателя,MU-014,Прокладка клапанной крышки,Üst krişka praklatkası,подтверждено вручную
С88,feredo çaşka,Диск/корзина сцепления (feredo caska),TR-032,Комплект сцепления,Mufta dəsti,подтверждено вручную
С89,ön şüşə (patpres),Лобовое стекло,KZ-011,Лобовое стекло,Ön şüşə (patpres),подтверждено вручную
С91,Dönmə işıqları,Поворотники,KZ-008,Поворотник,Dönmə işığı (povorotnik),подтверждено вручную
С92,Hava şlanqı (plastik qofra şlanq),Воздушный шланг (пластиковый гофрированный),MU-089,Патрубок воздуховода,Hava borusu (patrubok),подтверждено вручную
С93,Sol kənar park radarı və klemması,Левый крайний парковочный радар и его клемма,AK-028,Парковочные датчики,Park datçikləri,подтверждено вручную
С94,Hyunday sonata 2007 ci il 2 matora qlavnı silindir lazımdı,Hyundai Sonata 2007 2.0 — главный цилиндр,EY-007,Главный тормозной цилиндр,Qlavnı silindir,подтверждено второй проверкой
С95,"Sağ tərəf güzgü lazımdı, güzgünün özü, Gəncədə lazımdır","Правое зеркало, само зеркало",KZ-020,Боковое зеркало,Güzgü (yan güzgü),подтверждено вручную
С96,girousiliteli,Гидроусилитель,SU-005,Гидроусилитель руля,Rulevoy usilitel (gidrousilitel),подтверждено вручную
С98,Motor zbor,Двигатель в сборе,MU-001,Двигатель в сборе,Mühərrik,подтверждено вручную
С100,MERCEDES C250 - 4 ədəd hər bir təkər üçün təkər təzyiq datçiki(sensor),Mercedes C250 — 4 датчика давления шин,TK-005,Датчик давления в шине (TPMS),TPMS sensoru (təkər hava sensoru),подтверждено вручную
С101,Radiator barmağlığı,Решётка радиатора,KZ-028,Решётка радиатора,Radiator barmaqlığı,подтверждено вручную
С102,Sag onsuse qaldiran mexanizim var??,Механизм стеклоподъёмника передней правой двери,KZ-045,Механизм стеклоподъёмника,Şüşəqaldıran mexanizm,подтверждено вручную
С103,Evap sensoruda lazımdı benzin vurandan sonra maşın sönür hava benzin qarışığın düz nizamlamır,Датчик EVAP: после заправки машина глохнет,YA-025,Датчик давления топливного бака (система EVAP),Yanacaq çəni təzyiq sensoru (EVAP təzyiqi),подтверждено вручную
С104,Ön sol qranat,Передний левый ШРУС,AS-008,ШРУС,Qranat (SHRUS),подтверждено вручную
С105,Arxa qapı pərdələri dorest,"Шторки задних дверей, дорестайлинг",AK-042,Солнцезащитная шторка бокового стекла,Günəş pərdəsi (yan şüşə),подтверждено вручную
С106,Baqaj jaluzi,Шторка багажника,KZ-070,Шторка/жалюзи багажника,Baqaj jaluzu (pərdəsi),подтверждено вручную
С107,Qlapan salnikləri,Сальники клапанов,MU-016,Маслосъёмный колпачок,Klapan salniyi,подтверждено вручную
С108,Сальник для шруса,Сальник для ШРУСа,TR-014,Сальник коробки/полуоси,Karopka salniki (val salniki),подтверждено второй проверкой
